&nbsp;   
__Top 100 Player and what they play__   
               
||Rating|Spec|Player| 
| 74 | 3486 | ⚔️🍺 Monk Windwalker | [Gutso](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/gutso) |          
| 75 | 3486 | ⚔️🌸 Paladin Retribution | [Huavi](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/huavi) |          
| 76 | 3485 | ⚔️🟠 Druid Feral | [Feralgenius](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/feralgenius) |          
| 77 | 3485 | ❤️‍🩹🍺 Monk Mistweaver | [Imogenheap](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/imogenheap) |          
| 78 | 3485 | ⚔️🌸 Paladin Retribution | [Jïmmypòwdêr](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/jïmmypòwdêr) |          
| 79 | 3485 | ⚔️🟡 Rogue Subtlety | [Alexdelion](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/alexdelion) |          
| 80 | 3484 | ⚔️🦖 Hunter Beastmastery | [Gööber](https://worldofwarcraft.blizzard.com/en-us/character/us/hyjal/gööber) |          
| 81 | 3483 | ⚔️🦖 Hunter Beastmastery | [Reilerhunt](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/reilerhunt) |          
| 82 | 3483 | ⚔️🌸 Paladin Retribution | [Zøzø](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/zøzø) |          
| 83 | 3483 | ⚔️🔮 Warlock Demonology | [Thugonomicz](https://worldofwarcraft.blizzard.com/en-us/character/us/demon-soul/thugonomicz) |          
| 84 | 3482 | ⚔️🌸 Paladin Retribution | [Picachü](https://worldofwarcraft.blizzard.com/en-us/character/us/ragnaros/picachü) |          
| 85 | 3480 | ⚔️🍺 Monk Windwalker | [Doritotko](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/doritotko) |          
| 86 | 3480 | ⚔️🔵 Shaman Elemental | [Bronzers](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bronzers) |          
| 87 | 3479 | ⚔️🌸 Paladin Retribution | [Zozo](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/zozo) |          
| 88 | 3479 | ⚔️🔵 Shaman Elemental | [Isdozzy](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/isdozzy) |          
| 89 | 3478 | ⚔️🦖 Hunter Beastmastery | [Reileralt](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/reileralt) |          
| 90 | 3478 | ⚔️🍺 Monk Windwalker | [Sultanofwind](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/sultanofwind) |          
| 91 | 3477 | ⚔️⚪ Priest Shadow | [Myòvó](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/myòvó) |          
| 92 | 3477 | ⚔️🟤️ Warrior Arms | [Killbørn](https://worldofwarcraft.blizzard.com/en-us/character/us/azralon/killbørn) |          
| 93 | 3476 | ⚔️🍺 Monk Windwalker | [Gum](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/gum) |          
| 94 | 3476 | ⚔️🌸 Paladin Retribution | [Trickypally](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/trickypally) |          
| 95 | 3476 | ⚔️🌸 Paladin Retribution | [Zugzugondeez](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/zugzugondeez) |          
| 96 | 3475 | ⚔️🍺 Monk Windwalker | [Tokyodripztv](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/tokyodripztv) |          
| 97 | 3474 | ⚔️🟠 Druid Balance | [Buffboomy](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/buffboomy) |          
| 98 | 3474 | ⚔️🍺 Monk Windwalker | [Xyän](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/xyän) |          
| 99 | 3474 | ⚔️🌸 Paladin Retribution | [Attkdamdam](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/attkdamdam) |          
| 100 | 3473 | ⚔️🍺 Monk Windwalker | [Keyways](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/keyways) |          
| 101 | 3473 | ⚔️🔮 Warlock Destruction | [Baiw](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/baiw) |          
| 102 | 3472 | ⚔️🔮 Demonhunter Havoc | [Brbpetmycat](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/brbpetmycat) |          
| 103 | 3472 | ⚔️🌸 Paladin Retribution | [Soloque](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/soloque) |          
| 104 | 3470 | ⚔️🟠 Druid Balance | [Myovo](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/myovo) |          
| 105 | 3469 | ⚔️🦖 Hunter Beastmastery | [Saiiphz](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/saiiphz) |          
| 106 | 3468 | ⚔️🟠 Druid Balance | [Åëöñíç](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/åëöñíç) |          
| 107 | 3468 | ❤️‍🩹🍺 Monk Mistweaver | [Réðçräñé](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/réðçräñé) |          
| 108 | 3468 | ⚔️🟡 Rogue Assassination | [Needbuff](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/needbuff) |          
| 109 | 3468 | ⚔️🔮 Warlock Demonology | [Afrikenx](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/afrikenx) |          
| 110 | 3467 | ⚔️🌸 Paladin Retribution | [Kynndra](https://worldofwarcraft.blizzard.com/en-us/character/us/azralon/kynndra) |          
| 111 | 3466 | ⚔️🧊 Mage Frost | [Aegx](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/aegx) |          
| 112 | 3466 | ⚔️🔵 Shaman Elemental | [Smellyogre](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/smellyogre) |          
| 113 | 3466 | ⚔️🔮 Warlock Destruction | [Sadcuzbad](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/sadcuzbad) |          
| 114 | 3465 | ⚔️🍺 Monk Windwalker | [Hîddëncløùdx](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/hîddëncløùdx) |          
| 115 | 3464 | ⚔️🔵 Shaman Elemental | [Bubblebèam](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bubblebèam) |          
