||Rating|Spec|Player| 
| 80 | 3483 | ⚔️ Hunter 🦖 Beastmastery | [Reilerhunt](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/reilerhunt) |          
| 81 | 3483 | ⚔️ Paladin 🌸 Retribution | [Zøzø](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/zøzø) |          
| 82 | 3483 | ⚔️ Warlock 🔮 Demonology | [Thugonomicz](https://worldofwarcraft.blizzard.com/en-us/character/us/demon-soul/thugonomicz) |          
| 83 | 3482 | ⚔️ Paladin 🌸 Retribution | [Picachü](https://worldofwarcraft.blizzard.com/en-us/character/us/ragnaros/picachü) |          
| 84 | 3481 | ⚔️ Warlock 🔮 Destruction | [Roopx](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/roopx) |          
| 85 | 3480 | ⚔️ Monk 🍺 Windwalker | [Doritotko](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/doritotko) |          
| 86 | 3480 | ⚔️ Shaman 🔵 Elemental | [Bronzers](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bronzers) |          
| 87 | 3479 | ⚔️ Paladin 🌸 Retribution | [Dronedròp](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/dronedròp) |          
| 88 | 3479 | ⚔️ Paladin 🌸 Retribution | [Zozo](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/zozo) |          
| 89 | 3479 | ⚔️ Shaman 🔵 Elemental | [Isdozzy](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/isdozzy) |          
| 90 | 3478 | ⚔️ Hunter 🦖 Beastmastery | [Reileralt](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/reileralt) |          
| 91 | 3478 | ⚔️ Monk 🍺 Windwalker | [Sultanofwind](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/sultanofwind) |          
| 92 | 3477 | ⚔️ Priest ⚪ Shadow | [Myòvó](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/myòvó) |          
| 93 | 3477 | ⚔️ Warrior 🟤️ Arms | [Killbørn](https://worldofwarcraft.blizzard.com/en-us/character/us/azralon/killbørn) |          
| 94 | 3476 | ⚔️ Monk 🍺 Windwalker | [Gum](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/gum) |          
| 95 | 3476 | ⚔️ Paladin 🌸 Retribution | [Trickypally](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/trickypally) |          
| 96 | 3476 | ⚔️ Paladin 🌸 Retribution | [Zugzugondeez](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/zugzugondeez) |          
| 97 | 3475 | ⚔️ Monk 🍺 Windwalker | [Tokyodripztv](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/tokyodripztv) |          
| 98 | 3474 | ⚔️ Druid 🟠 Balance | [Buffboomy](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/buffboomy) |          
| 99 | 3474 | ⚔️ Paladin 🌸 Retribution | [Attkdamdam](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/attkdamdam) |          
| 100 | 3473 | ⚔️ Monk 🍺 Windwalker | [Keyways](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/keyways) |          
| 101 | 3473 | ⚔️ Warlock 🔮 Destruction | [Baiw](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/baiw) |          
| 102 | 3472 | ⚔️ Demonhunter 🔮 Havoc | [Brbpetmycat](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/brbpetmycat) |          
| 103 | 3472 | ⚔️ Paladin 🌸 Retribution | [Soloque](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/soloque) |          
| 104 | 3471 | ⚔️ Paladin 🌸 Retribution | [Tastemeburst](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/tastemeburst) |          
| 105 | 3470 | ⚔️ Druid 🟠 Balance | [Myovo](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/myovo) |          
| 106 | 3469 | ⚔️ Hunter 🦖 Beastmastery | [Saiiphz](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/saiiphz) |          
| 107 | 3468 | ⚔️ Druid 🟠 Balance | [Åëöñíç](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/åëöñíç) |          
| 108 | 3468 | ❤️‍🩹 Monk 🍺 Mistweaver | [Réðçräñé](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/réðçräñé) |          
| 109 | 3468 | ⚔️ Rogue 🟡 Assassination | [Needbuff](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/needbuff) |          
| 110 | 3468 | ⚔️ Warlock 🔮 Demonology | [Afrikenx](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/afrikenx) |          
| 111 | 3467 | ⚔️ Paladin 🌸 Retribution | [Kynndra](https://worldofwarcraft.blizzard.com/en-us/character/us/azralon/kynndra) |          
| 112 | 3466 | ⚔️ Mage 🧊 Frost | [Aegx](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/aegx) |          
| 113 | 3466 | ⚔️ Warlock 🔮 Destruction | [Sadcuzbad](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/sadcuzbad) |          
| 114 | 3465 | ⚔️ Hunter 🦖 Beastmastery | [Rbtz](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/rbtz) |          
| 115 | 3465 | ⚔️ Paladin 🌸 Retribution | [Aldda](https://worldofwarcraft.blizzard.com/en-us/character/us/azralon/aldda) |          
| 116 | 3464 | ⚔️ Shaman 🔵 Elemental | [Bubblebèam](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bubblebèam) |          
| 117 | 3464 | ⚔️ Warlock 🔮 Demonology | [Grobherzog](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/grobherzog) |          
| 118 | 3464 | ⚔️ Warlock 🔮 Destruction | [Gamerdude](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/gamerdude) |          
| 119 | 3464 | ⚔️ Warrior 🟤️ Arms | [Swifty](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/swifty) |          
